,Brand,Resolution,Size,Selling Price,Original Price,Operating System,Rating
35,VU,144Hz,55,46999,85000,Android,4.4
36,NOKIA ,144Hz,43,32999,48999,Android,4.4
37,VU,144Hz,43,31000,39999,Android,4.4
38,NOKIA ,144Hz,50,39999,59999,Android,4.4
39,THOMSON,144Hz,50,32999,40999,Android,4.4
40,THOMSON,HD LED,24,8499,10499,Android,4.1
41,MI ,QLED Ultra HD,55,58999,59999,Android,4.4
42,ONEPLUS,144Hz,55,49999,59999,Android,4.3
43,VU,144Hz,50,40999,65000,Android,4.4
44,LG ,144Hz,43,42990,59990,WebOS,4.5
45,IFFALCON BY TCL,144Hz,43,24999,47990,Android,4.3
46,NOKIA ,144Hz,43,31999,45999,Android,4.1
47,THOMSON,Full HD LED,42,20499,27999,Android,4.3
48,THOMSON,144Hz,55,34999,46999,Android,4.2
49,IFFALCON BY TCL,Full HD LED,43,21999,44990,Android,4.2
50,NOKIA ,144Hz,55,44999,62999,Android,4.4
51,SONY ,HD LED,32,25490,29900,Linux,4.5
52,THOMSON,144Hz,50,31999,42999,Android,4.2
53,KODAK ,144Hz,55,36999,47999,Android,4.4
54,MOTOROLA,144Hz,43,32999,46999,Android,4.3
55,THOMSON,Full HD LED,40,19499,21499,Android,4.4
56,SAMSUNG,HD LED,32,18490,20900,Tizen,4.3
57,LG ,144Hz,50,49999,64990,WebOS,4.4
58,IFFALCON BY TCL,144Hz,55,35999,106990,Android,4.3
59,THOMSON,HD LED,32,11999,14499,Android,4.4
60,MOTOROLA,QLED Ultra HD,50,45999,59999,Android,4.3
61,MOTOROLA,Full HD LED,40,24999,39999,Android,4.4
62,KODAK ,HD LED,32,12999,18499,Android,4.4
63,SAMSUNG,144Hz,50,51990,71400,Tizen,4.3
64,MOTOROLA,HD LED,32,20999,29999,Android,4.4
65,TCL ,QLED Ultra HD,50,45999,109990,Android,4.4
66,SONY ,Full HD LED,43,43490,44900,Linux,4.5
67,PHILIPS,144Hz,58,45999,89990,Android,4.2
68,COOCAA ,144Hz,55,34999,73990,Android,4.3
69,PHILIPS,144Hz,50,38999,69990,Linux,4.2
70,NOKIA ,QLED Ultra HD,55,54999,79999,Android,4.2
71,SONY ,Full HD LED,49,44999,69900,Android,4.5
72,KODAK ,Full HD LED,40,19499,20999,Android,4.4
73,KODAK ,Full HD LED,42,20499,27999,Android,4.4
74,MOTOROLA,144Hz,50,39999,54999,Android,4.3
75,ACER,HD LED,32,13999,19990,Android,3.9
76,TCL ,Full HD LED,55,41999,109990,Android,4.3
77,SAMSUNG,HD LED,32,16290,16400,Tizen,4.3
78,TCL ,144Hz,43,29999,51990,Linux,4.4
79,BLAUPUNKT,Full HD LED,42,20999,29999,Android,4.4
80,PHILIPS,Full HD LED,43,29999,44990,Android,4.2
81,NOKIA ,144Hz,55,39999,59999,Android,4.3
82,HISENSE,144Hz,55,46999,59990,Android,4.5
83,REALME ,144Hz,50,39999,42999,Android,4.3
84,SAMSUNG,QLED Ultra HD,55,76999,129900,Tizen,4.5
85,NOKIA ,HD LED,32,16499,19999,Android,4.3
86,PHILIPS,144Hz,50,42999,79990,Android,4.0
87,MI ,Full HD LED,43,24999,25999,Android,4.4
88,ACER,Full HD LED,42,21999,29990,Android,3.9
89,ACER,144Hz,50,34999,44990,Android,3.6
90,KODAK ,144Hz,43,25999,37999,Android,4.4
91,NOKIA ,144Hz,50,35999,54999,Android,4.3
92,COOCAA ,Full HD LED,42,18999,48990,Android,4.2
93,BLAUPUNKT,144Hz,50,34499,47999,Android,4.7
94,SAMSUNG,144Hz,55,55990,76900,Tizen,4.3
95,IFFALCON BY TCL,QLED Ultra HD,55,44999,126990,Android,4.3
96,THOMSON,144Hz,65,53999,70499,Android,4.4
97,SAMSUNG,Full HD LED,32,20880,24275,Tizen,4.2
98,IFFALCON BY TCL,Full HD LED,40,19999,36990,Android,4.3
99,BLAUPUNKT,144Hz,43,28999,41999,Android,4.7
100,THOMSON,144Hz,43,22999,29999,Android,4.3
101,ADSUN,HD LED,32,8699,16999,Android,3.8
102,LG ,144Hz,55,57999,89990,WebOS,4.5
103,SONY ,144Hz,43,44999,66900,Linux,4.5
104,SAMSUNG,QLED Ultra HD,50,84999,119900,Tizen,4.8
105,TCL ,144Hz,55,39999,75990,Android,4.4
106,ACER,144Hz,58,38999,59990,Android,4.0
107,THOMSON,144Hz,43,27999,37999,Android,4.4
108,SAMSUNG,QLED Ultra HD,50,68999,112900,Tizen,4.5
109,VU,144Hz,65,56999,75000,Android,4.4
110,TCL ,HD LED,32,16499,29990,Android,4.2
111,HISENSE,144Hz,43,29990,36990,Android,4.3
112,KODAK ,144Hz,55,34499,39990,Android,4.3
113,SONY ,Full HD LED,43,44900,44900,Linux,4.6
114,BLAUPUNKT,144Hz,55,39999,55999,Android,4.7
115,THOMSON,HD LED,32,11999,14990,Android,4.1
116,HISENSE,144Hz,43,30999,36990,Android,4.4
117,SAMSUNG,Full HD LED,43,32999,53900,Tizen,4.4
118,SAMSUNG,Full HD LED,43,36580,39900,Tizen,4.3
119,KODAK ,HD LED,24,8499,10499,Android,4.0
120,THOMSON,144Hz,55,34999,46999,Android,4.3
121,SONY ,144Hz,43,56720,72900,Linux,4.8
122,T-SERIES,HD LED,24,9990,12990,Android,
